ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"103.79.152.203","elite","AS131111","ID","MORATELINDO","212","Moratelindo","5678","socks4","4603","1","2023-10-18T11:27:48.132Z","96","4234","4403"
"148.251.84.230","elite","AS24940","DE","Hetzner Online GmbH","98","Hetzner","60001","socks4","4797","1","2023-10-18T11:27:48.243Z","100","4339","4339"
"185.238.228.202","elite","AS209242","GB","Cloudflare London, LLC","12","Invermae Solutions SL","80","socks4","4994","1","2023-10-18T11:27:47.249Z","100","4389","4389"
"178.128.221.243","elite","AS14061","SG","DigitalOcean, LLC","189","Digitalocean","26323","socks5","4509","1","2023-10-18T11:27:47.337Z","99","4392","4418"
"46.241.57.29","elite","AS21127","RU","ZSTTK","98","JSC Zap-Sib TransTeleCom","1080","socks5","4905","82","2023-10-18T11:27:46.242Z","46","2063","4460"
"115.72.160.36","elite","AS7552","VN","VIETELmetro","297","N/A","5678","socks4","4702","1","2023-10-18T11:27:46.236Z","85","3702","4366"
"60.211.195.150","elite","AS4837","CN","CNC Group CHINA169 Shandong Province Network","290","N/A","10800","socks4","5100","1","2023-10-18T11:27:45.138Z","87","3798","4367"
"177.52.26.234","elite","AS262282","BR","Maria Luciana Machado E CIA Ltda-me","1188","Maria Luciana Machado E CIA Ltda-me","4145","socks4","4702","1","2023-10-18T11:27:45.540Z","97","4291","4431"
"103.12.246.105","elite","AS134941","IN","Instant Cable Network PVT LTD","186","Instant Cable Network PVT LTD","4145","socks4","5005","1","2023-10-18T11:27:45.140Z","99","4386","4417"
"1.15.172.214","elite","AS45090","CN","Tencent Cloud Computing (Beijing) Co. Ltd.","182","Tencent Cloud Computing (Beijing) Co. Ltd.","7890","socks4","4792","87","2023-10-18T11:27:44.233Z","47","2033","4339"
"5.188.188.91","elite","AS202422","ES","G-Core Labs S.A.","20","G-Core Labs S.A","17317","socks4","4899","1","2023-10-18T11:27:44.250Z","98","4352","4434"
"58.236.162.216","elite","AS9318","KR","SK Broadband Co Ltd","300","broadNnet","1080","socks5","4705","1","2023-10-18T11:27:44.239Z","100","4461","4477"
"165.165.159.25","elite","AS5713","ZA","Telkom SA Ltd.","318","Telkom SA Limited","1888","socks4","5195","1","2023-10-18T11:27:44.241Z","98","4355","4434"
"45.8.107.79","elite","AS209242","DE","Cloudflare London, LLC","87","Araxio Development N.V","80","socks4","4801","1","2023-10-18T11:27:44.153Z","100","4370","4371"
"116.105.165.83","elite","AS7552","VN","Viettel Corporation","388","Viettel Group","1080","socks5","4995","1","2023-10-18T11:27:43.933Z","64","2821","4423"
"128.199.131.98","elite","AS14061","SG","DigitalOcean, LLC","197","DigitalOcean, LLC","18182","socks5","4800","1","2023-10-18T11:27:43.144Z","100","4321","4323"
"110.77.163.5","elite","AS131090","TH","CAT-BB","282","N/A","4145","socks4","4893","1","2023-10-18T11:27:43.937Z","92","4037","4404"
"2.135.223.134","elite","AS9198","KZ","JSC Kazakhtelecom","89","Legion","5678","socks4","5189","1","2023-10-18T11:27:43.850Z","95","4147","4385"
"213.149.103.132","elite","AS8585","ME","Crnogorski Telekom a.d.Podgorica","41","T ComServeri","56671","socks5","4904","1","2023-10-18T11:27:43.138Z","100","4420","4440"
"168.119.178.134","elite","AS24940","DE","Hetzner Online GmbH","79","Hetzner","1080","socks5","5087","1","2023-10-18T11:27:42.846Z","99","4288","4352"
"186.97.198.18","elite","AS27831","CO","Colombia Móvil","190","Colombia Móvil","5678","socks4","5098","1","2023-10-18T11:27:41.349Z","98","4342","4434"
"91.185.236.239","elite","AS21487","RU","Sakhatelecom","194","N/A","4145","socks4","4008","1","2023-10-18T11:27:41.040Z","94","4133","4388"
"217.150.58.185","elite","AS20485","RU","TRANS-TELECOM","86","N/A","1080","socks4","4911","1","2023-10-18T11:27:41.350Z","99","4413","4449"
"197.234.13.12","elite","AS36902","SC","Intelvision","176","Intelvision Ltd","4145","socks4","2802","3","2023-10-18T11:27:41.043Z","100","4334","4352"
"43.153.96.130","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","184","Tencent Cloud Computing","443","socks4","4304","1","2023-10-18T11:27:39.933Z","43","1877","4396"
"201.140.238.231","elite","AS266148","BR","Mais Fibra Telecomunicacao Ltda","188","Mais Fibra Telecomunicacao Ltda","5678","socks4","4701","1","2023-10-18T11:27:39.543Z","100","4440","4458"
"192.12.112.65","elite","AS61942","BR","Turbonet Telecom Ltda","197","Turbonet Telecom Ltda","4145","socks4","4289","1","2023-10-18T11:27:39.935Z","99","4384","4433"
"91.224.179.175","elite","AS197602","UA","TeleRadioCompany \"Studio TV-9 Beregsasom\" Ltd.","44","TV9 net 2","5678","socks4","3981","1","2023-10-18T11:27:39.544Z","96","4279","4478"
"103.240.33.161","elite","AS132923","IN","Vihaan Telecommunication Pvt. Ltd.","200","Vihaan","8291","socks4","4204","2","2023-10-18T11:27:39.540Z","99","4387","4449"
"212.102.47.83","elite","AS212238","US","Datacamp Limited","197","Cdnext SEA","8219","socks4","4701","1","2023-10-18T11:27:39.542Z","100","4366","4368"
"203.34.28.148","elite","AS209242","VG","Cloudflare London, LLC","12","Anaga Consulting Limited","80","socks4","5096","1","2023-10-18T11:27:38.535Z","100","4362","4363"
"36.92.177.9","elite","AS7713","ID","Telekomunikasi Indonesia","229","Temporary","1081","socks4","4792","1","2023-10-18T11:27:38.250Z","97","4321","4451"
"170.80.33.103","elite","AS266366","BR","Giga NET Telecomunicacoes Eireli - ME","260","Giga NET Telecomunicacoes Eireli - ME","5678","socks4","4320","1","2023-10-18T11:27:38.335Z","91","4074","4455"
"104.16.25.216","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks5","2486","1","2023-10-18T11:27:38.537Z","100","4371","4371"
"180.183.13.200","elite","AS45629","TH","Triple T Broadband Public Company Limited","299","Triple T Broadband Public Company Limited","5678","socks4","5488","1","2023-10-18T11:27:36.840Z","93","4130","4436"
"45.112.125.58","elite","AS58369","ID","FIBERNET","198","N/A","4145","socks4","4496","1","2023-10-18T11:27:36.841Z","99","4267","4309"
"112.195.36.157","elite","AS4837","CN","China Unicom CHINA169 Sichuan Province Network","295","N/A","24388","socks4","1416","1","2023-10-18T11:27:35.145Z","60","2671","4423"
"141.105.86.130","elite","AS24634","LB","CYBERIA","54","N/A","44660","socks4","2103","1","2023-10-18T11:27:35.149Z","91","4066","4490"
"71.167.151.15","elite","AS701","US","Verizon Business","94","Verizon Business","8080","socks5","4608","1","2023-10-18T11:27:35.143Z","100","4200","4206"
"54.38.242.224","elite","AS16276","FR","OVH SAS","82","OVH","31143","socks5","4990","1","2023-10-18T11:27:35.533Z","98","4367","4476"
"178.62.63.229","elite","AS14061","GB","DigitalOcean, LLC","14","Digital Ocean","20682","socks4","4703","1","2023-10-18T11:27:35.534Z","83","3655","4378"
"8.214.194.44","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","497","Alibaba.com Singapore E-Commerce Private Limited","443","socks4","5007","1","2023-10-18T11:27:35.446Z","99","4322","4366"
"98.206.244.30","elite","AS33491","US","Comcast Cable Communications, LLC","198","Comcast Cable Communications, Inc.","18301","socks4","5004","1","2023-10-18T11:27:35.146Z","100","4380","4382"
"101.108.232.195","elite","AS23969","TH","TOT Public Company Limited","165","TOT Public Company Limited","4145","socks4","4509","1","2023-10-18T11:27:33.750Z","45","1925","4265"
"36.89.85.49","elite","AS7713","ID","PT. Telekomunikasi Indonesia","295","Telekomunikasi Indonesia","5678","socks4","4813","1","2023-10-18T11:27:33.541Z","96","4249","4439"
"170.81.108.44","elite","AS266416","BR","L3 NETWORKS E TELECOMUNICACOES LTDA","293","L3 NETWORKS E TELECOMUNICACOES LTDA","4153","socks4","5498","1","2023-10-18T11:27:33.543Z","99","4394","4419"
"103.234.128.70","elite","AS9929","CN","China Telecom (Group)","190","Global ICT Solutions (ShangHai) CO., LTD","38157","socks4","2213","1","2023-10-18T11:27:33.545Z","85","3721","4395"
"178.44.113.205","elite","AS12389","RU","JSC VolgaTelecom","73","OJSC Volgatelecom in the Kirov region","53281","socks5","3515","81","2023-10-18T11:27:33.748Z","100","4325","4344"
"139.162.100.214","elite","AS63949","JP","Akamai Technologies, Inc.","287","Linode, LLC","18199","socks4","4095","1","2023-10-18T11:27:33.834Z","99","4300","4354"
"165.22.52.130","elite","AS14061","SG","DigitalOcean, LLC","198","DigitalOcean, LLC","8000","socks4","4414","1","2023-10-18T11:27:32.436Z","86","3781","4381"
"104.16.105.198","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5191","1","2023-10-18T11:27:32.434Z","100","4478","4479"
"126.70.140.73","elite","AS17676","JP","Softbank BB Corp.","287","SOFTBANK Corp","80","socks4","2610","1","2023-10-18T11:27:32.136Z","100","4384","4388"
"107.174.121.140","elite","AS36352","US","ColoCrossing","181","RackNerd LLC","3128","socks4","4398","82","2023-10-18T11:27:32.437Z","72","3107","4286"
"149.20.253.102","elite","AS18615","US","Mainstream Fiber Networks, LLC","98","Mainstream Fiber Networks, LLC","12551","socks4","4986","1","2023-10-18T11:27:32.444Z","100","4384","4392"
"103.70.159.154","elite","AS133720","IN","speednet","191","N/A","5678","socks4","3605","1","2023-10-18T11:27:32.134Z","99","4390","4434"
"178.249.218.34","elite","AS44219","IT","ICCOM s.r.l.","83","N/A","5678","socks4","5096","1","2023-10-18T11:27:32.137Z","94","4135","4389"
"159.89.206.252","elite","AS14061","SG","DigitalOcean, LLC","195","DigitalOcean, LLC","44590","socks4","4299","1","2023-10-18T11:27:30.642Z","100","4324","4340"
"198.98.49.82","elite","AS53667","US","FranTech Solutions","85","FranTech Solutions","443","socks5","4108","1","2023-10-18T11:27:30.644Z","100","4322","4328"
"38.127.173.104","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","174","socks4","1710","1","2023-10-18T11:27:30.650Z","100","4349","4356"
"103.107.94.2","elite","AS135683","IN","Netncr Technology Pvt Ltd","190","Netncr Technology Pvt Ltd","44578","socks4","4698","1","2023-10-18T11:27:30.641Z","100","4336","4343"
"103.47.93.222","elite","AS134058","IN","Broban Internet Services Pvt.ltd","153","Broban  PVT Ltd.","1080","socks4","4497","1","2023-10-18T11:27:28.554Z","99","4363","4401"
"186.249.240.146","elite","AS263027","BR","R. F. COVRE - INFORMATICA","291","R. F. COVRE - INFORMATICA","50733","socks4","5102","1","2023-10-18T11:27:28.633Z","60","2668","4448"
"110.34.166.184","elite","AS45652","SG","VPLS, Inc.","321","Vpls Sin1","4153","socks4","5095","1","2023-10-18T11:27:28.636Z","99","4375","4433"
"45.7.210.200","elite","AS265729","AR","Cooperativa de Servicios Públicos de Porteña LTDA","239","Cooperativa de Servicios Públicos de Porteña LTDA","4153","socks4","3898","1","2023-10-18T11:27:28.635Z","99","4462","4490"
"46.227.37.149","elite","AS51155","PL","Telemedian - TB Telecom","40","Telemedian","1088","socks4","4994","1","2023-10-18T11:27:28.939Z","100","4443","4455"
"185.237.10.250","elite","AS34636","IR","Laser Company Ltd","187","Laser Company Ltd","20213","socks5","5203","1","2023-10-18T11:27:28.637Z","95","4241","4444"
"36.91.233.114","elite","AS7713","ID","PT Telekomunikasi Indonesia","297","Telekomunikasi Indonesia","5678","socks4","4015","1","2023-10-18T11:27:28.548Z","99","4332","4387"
"177.53.169.178","elite","AS262474","BR","Alterna Telecomunicacoes E Conectividade Ltda EPP","200","Alterna Telecomunicacoes E Conectividade Ltda EPP","4153","socks4","4599","1","2023-10-18T11:27:27.435Z","99","4400","4427"
"5.160.168.134","elite","AS42337","IR","Respina Networks & Beyond PJSC","103","Respina","5678","socks4","5083","1","2023-10-18T11:27:27.244Z","96","4167","4327"
"51.68.125.26","elite","AS16276","FR","OVH SAS","6","OVH","7497","socks5","5003","1","2023-10-18T11:27:27.441Z","100","4425","4425"
"104.16.106.234","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4890","1","2023-10-18T11:27:27.242Z","100","4472","4473"
"139.170.229.78","elite","AS4837","CN","China Unicom Qinghai Province Network","394","N/A","7080","socks5","4505","1","2023-10-18T11:27:24.839Z","86","3777","4377"
"209.97.175.231","elite","AS14061","SG","DigitalOcean, LLC","198","DigitalOcean, LLC","45337","socks5","4014","1","2023-10-18T11:27:24.837Z","95","4181","4409"
"50.63.26.13","elite","AS398101","US","GoDaddy.com, LLC","198","GoDaddy.com, LLC","53887","socks4","908","84","2023-10-18T11:27:24.645Z","100","4401","4403"
"103.35.109.142","elite","AS23991","BD","Ranks ITT","183","Ranks ITT Ltd.","4145","socks4","4899","1","2023-10-18T11:27:24.838Z","99","4437","4466"
"5.135.178.11","elite","AS16276","FR","OVH SAS","84","OVH","11624","socks5","4999","1","2023-10-18T11:27:24.643Z","100","4419","4419"
"43.157.53.134","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","82","Tencent Cloud Computing","443","socks4","3687","1","2023-10-18T11:27:24.647Z","83","3658","4405"
"115.133.236.53","elite","AS4788","MY","TM TECHNOLOGY SERVICES SDN BHD","195","Adsl Streamyx","8080","socks4","4997","1","2023-10-18T11:27:22.734Z","100","4337","4354"
"104.19.83.128","elite","AS13335","CA","Cloudflare, Inc.","78","Cloudflare, Inc.","80","socks4","5095","1","2023-10-18T11:27:22.736Z","100","4302","4302"
"74.33.175.72","elite","AS5650","US","Frontier Communications Solutions","194","ADSL Frontier Communications Plymouth NY","8080","socks5","4994","1","2023-10-18T11:27:22.732Z","88","3877","4427"
"105.235.193.226","elite","AS37269","NG","Information Connectivity Solutions Limited","183","N/A","44624","socks4","5008","1","2023-10-18T11:27:22.649Z","64","2740","4300"
